age,income,tenure_months,transactions_last_30d,amount_last_30d,days_since_last_purchase,is_active_app_user,support_tickets_last_90d,discount_rate_mean,segment_code,target_purchase_next_30d
22,34683.82323020556,43,3,180.88089257297133,103,0,1,0.1793064831790082,3,0
58,40939.506988374786,112,2,127.09707262572067,109,1,0,0.11847737635445069,2,0
52,58009.027108379996,71,5,263.9889201838028,173,0,0,0.00285459022419543,1,0
40,49642.45955011479,89,5,156.8195716420505,77,1,0,0.16890872119078815,0,0
40,42841.95734066181,26,4,181.9085367255518,44,1,0,0.24836108127850628,3,1
62,36453.96021526917,27,0,0.0,28,1,1,0.23976430789135353,1,0
22,34801.82972341403,57,6,211.27070276137113,22,1,0,0.08847658802290292,1,0
54,48023.66777794298,92,0,0.0,96,0,1,0.06196400881648853,2,0
28,80387.18784854746,109,2,10.0,147,1,0,0.1403512697975565,0,0
22,58486.799636118456,16,1,44.885427526943936,116,0,0,0.2007909278020856,0,0
45,30007.036356578712,12,3,140.1610015262019,69,0,0,0.0950473016390136,2,0
68,60608.242510984346,16,1,39.080211625190756,102,0,0,0.03614578603423515,4,0
56,38616.70088153584,12,1,32.64419084455396,49,1,1,0.09870406354651497,0,0
57,49927.13935090052,114,3,97.11229214155799,41,1,0,0.22803868628542892,0,1
55,41167.09093274351,18,2,74.92440613744247,44,1,1,0.06061487942661104,4,0
58,80341.32219311001,14,2,109.4876346810508,127,0,1,0.10900526513645657,4,0
44,32988.3813242763,38,2,71.53804914219158,20,1,1,0.23112406321863105,2,0
24,54704.18384203191,99,1,70.83882644878105,5,0,0,0.07387536920551369,0,0
61,39720.14293623124,109,1,68.54656678407844,3,1,0,0.012239983995265645,2,0
41,61082.42119064881,81,1,22.80989471387511,23,0,1,0.023009767617489962,1,0
44,54401.807300943095,71,0,0.0,7,1,2,0.2538354738379029,3,0
37,68818.28969228038,90,3,178.6898024294302,123,1,0,0.10166324421014715,1,0
27,60771.76691983765,11,4,207.3554620447709,34,1,0,0.2601628206884213,1,1
66,39596.99196689734,67,2,39.12384813617413,72,0,1,0.04016712851398454,2,0
58,93743.03866300141,7,3,142.1862779770187,91,0,1,0.08573686223267685,0,0
51,58331.39200476609,91,3,218.69616178857837,50,0,0,0.11841493750068982,0,0
38,41740.070767572324,59,1,30.230892492209506,123,0,0,0.14116272350692374,1,0
60,53083.1058926933,114,1,58.90097076690675,93,0,0,0.21943433110089128,4,0
46,59462.504401539394,72,0,0.0,115,1,2,0.07842351377295845,3,0
41,58891.91718402857,89,0,0.0,51,0,0,0.09032148200472162,0,0
41,57440.421464251674,8,2,85.1447903075918,2,0,0,0.26298113815443197,2,1
29,64497.23230882057,39,4,212.03951048755687,39,0,2,0.05560474259667651,1,0
22,63022.56514403947,55,0,0.0,104,1,0,0.013214899774036615,1,0
46,37286.507506458525,107,3,140.62633218033417,92,0,0,0.22620137344363225,4,0
64,81620.81156010857,81,1,53.72018271705982,50,1,0,0.26865743984690105,0,0
21,79533.31726325321,57,0,0.0,56,1,1,0.05551593294131555,3,0
62,62014.47342859806,78,5,176.1570762603121,88,1,0,0.11169785220761527,1,1
61,50580.4507632593,19,3,88.6954063857975,110,1,0,0.08744035857726574,0,0
32,50838.288240670845,82,1,25.18391881393898,99,0,0,0.2735703771932885,0,0
50,45143.53407808035,108,3,138.3701423018405,49,1,1,0.20588728323596106,0,0
26,47084.236625577614,40,1,27.541232920205893,1,0,0,0.18862783224477245,3,0
57,17198.233776529392,50,4,220.0499769775935,98,1,0,0.16404523326687612,0,0
54,72953.9517936937,114,3,56.30079560392699,11,1,0,0.18755760827759327,0,0
36,67661.80462443235,30,4,141.23559180008047,165,0,0,0.0916613935229141,4,0
21,24849.698113513885,81,1,50.86853030962217,131,1,0,0.017154662609117275,4,0
68,63349.818723041666,77,0,0.0,3,0,1,0.1652992431287288,0,0
41,49884.28088177105,25,3,30.876474510185304,136,0,0,0.13042473682755434,1,0
64,47014.30791026497,119,1,31.57418867085991,1,0,0,0.21927448630706448,0,0
53,57392.62262846115,114,2,157.78080973360517,43,0,0,0.16428160801069733,0,0
58,23858.19215994325,101,1,24.501180020014637,41,1,0,0.24576595710792262,0,0
57,49831.26226718307,79,3,189.50502282266518,76,1,1,0.09948799239532626,2,0
28,51192.2176519755,30,2,95.71731329435474,101,0,0,0.12836547159145348,4,0
36,51206.73446849276,2,0,0.0,119,1,1,0.1954509217260117,1,0
42,29487.659024415847,85,1,30.900358279027685,118,1,0,0.04483922243220784,2,0
43,56703.73946563505,84,1,47.55823499776462,38,1,1,0.24429787193239677,1,0
20,65897.2249409313,31,2,90.8980244078698,36,0,0,0.22766662648210545,3,0
46,56109.97196129905,15,3,167.9508044044827,100,0,0,0.039541115186250385,2,0
26,46562.18133232588,61,1,23.64690871382531,88,1,0,0.12497467591531906,0,0
56,90335.60904379026,119,2,22.017575782330887,30,0,0,0.05531509671954564,1,0
53,36131.37821612096,17,5,246.04780784508569,163,0,0,0.16467651824818227,4,0
65,61601.7695070613,38,1,10.734206265887444,13,1,1,0.06323623306835525,4,1
56,53649.10558521036,35,7,101.93048854489925,164,1,0,0.18350394891693958,1,0
37,80184.6942451016,21,1,39.28793544121374,115,0,0,0.1832405740952642,0,0
